"","Means","dummy"
"X2.C.Methyl.D.erythritol4.phosphate",0.124473038095238,0.124473038095238
"X4.Amino.2.methyl.5.phosphomethylpyrimidine",0.123826752380952,0.123826752380952
"X1.pyrroline",0.123806971428571,0.123806971428571
"X4....E...4.Chlorophenyl..3.fluoro.6.oxo.2.4.cyclohexadien.1.ylidene.methyl.amino.butanamide",0.12363860952381,0.12363860952381
"X3..4.Methoxyphenyl.propyl.hydrogen.sulfate",0.123527028571429,0.123527028571429
"X..aminobutyric.acid",0.123180180952381,0.123180180952381
"Acetylcarnitine",0.122568914285714,0.122568914285714
"X5.hydroxy.4.methoxy.5.6.dihydro.2H.pyran.2.one",0.122179066666667,0.122179066666667
"X..Aminobutyric.acid",0.122114047619048,0.122114047619048
"Ursodeoxycholic.acid",0.120818104761905,0.120818104761905
"P36955",0.0911681333333333,0.0911681333333333
"Fludarabine.phosphate",0.0907162285714286,0.0907162285714286
"X4.Hydroxy.5.methylfuran.3.2H..one",0.0899382095238095,0.0899382095238095
"Proline",0.0877859904761905,0.0877859904761905
"Glycochenodeoxycholic.acid",0.0868166857142857,0.0868166857142857
"Hexanoylcarnitine",0.0842655142857143,0.0842655142857143
"Glutamine",0.0832712095238095,0.0832712095238095
"Q9HBB8",0.0829926,0.0829926
"X8.Amino.7.oxononanoic.acid",0.0794804,0.0794804
"P08319",0.0696698095238095,0.0696698095238095
"P06744",0.0688410190476191,0.0688410190476191
"Octanoylcarnitine",0.0684885428571429,0.0684885428571429
"X4...Z....4E.7Z.16Z.19Z..1.Hydroxy.4.7.10.13.16.19.docosahexaen.1.ylidene.amino.butanoic.acid",0.0655473904761905,0.0655473904761905
"P15291",0.0654078761904762,0.0654078761904762
"Glycoursodeoxycholic.acid.3.sulfate",0.0638948190476191,0.0638948190476191
"O95428",0.0633704476190476,0.0633704476190476
"P49913",0.0609045238095238,0.0609045238095238
"P35908",0.0608739142857143,0.0608739142857143
"Q7Z7G0",0.0593644,0.0593644
"P01009",0.0591824761904762,0.0591824761904762
"P12259",0.0584433142857143,0.0584433142857143
"P08195",0.0572452285714286,0.0572452285714286
"P30046",0.0571574952380952,0.0571574952380952
"P54108",0.0558627619047619,0.0558627619047619
"P04746",0.0536734095238095,0.0536734095238095
"P14151",0.042273,0.042273
"PC.O.36.5",0.0350902571428571,0.0350902571428571
"PE.P.18.0.16.0",0.0329767809523809,0.0329767809523809
"SM.42.2.O2",0.0326722666666667,0.0326722666666667
"Q03167",0.0287976761904762,0.0287976761904762
"P08294",0.0280637619047619,0.0280637619047619
"SM.34.2.O2",0.0262697619047619,0.0262697619047619
"SM.38.2.O2",0.0251454857142857,0.0251454857142857
"O95497",0.0251127619047619,0.0251127619047619
"LPC.22.4",0.0238310761904762,0.0238310761904762
"A0A0A0MS15",0.0227383714285714,0.0227383714285714
"PE.P.18.1.16.0",0.021951,0.021951
"PC.O.40.6",0.0213707904761905,0.0213707904761905
"PE.P.18.0.20.3",0.0186787428571429,0.0186787428571429
"PC.O.34.1",0.0180053428571429,0.0180053428571429
"PE.P.18.0.22.4",0.017975780952381,0.017975780952381
"CE.22.5",0.0170799619047619,0.0170799619047619
"CE.18.3",0.0161358380952381,0.0161358380952381
"PE.P.18.1.22.5",0.0132335142857143,0.0132335142857143
"LPC.20.4",0.0124849428571429,0.0124849428571429
"PE.40.4",0.0124291523809524,0.0124291523809524
"PC.34.1",0.0123825238095238,0.0123825238095238
"PC.O.32.0",0.0102152380952381,0.0102152380952381
"DG.38.5",0.0100900952380952,0.0100900952380952
"PC.32.2",0.00998076190476191,0.00998076190476191
